'{
    "intra_sent": true, "emb_unknown": 100, "emb_size": 300,
    "emb_center": true, "emb_proj": 200, "emb_proj_pca": true, "emb_normalize": true,
    "n_intra": [200, 200], "n_intra_bias": 10, "n_attend": [200, 200], "n_compare": [200, 200], "n_classif": [200, 200],
    "dropout_rate": 0.5, "lr": 0.0005, "batch_size": 256, "epoch_size": 400
}'
2017-05-17 07:28:12.852629 finished epoch 49, loss: 0.451328, val acc: 0.811827, test acc: 0.807512
2017-05-17 07:29:48.542182 finished epoch 50, loss: 0.450263, val acc: 0.810303, test acc: 0.807105
2017-05-17 07:31:24.862774 finished epoch 51, loss: 0.449008, val acc: 0.813757, test acc: 0.807919
2017-05-17 07:33:00.902117 finished epoch 52, loss: 0.448748, val acc: 0.814469, test acc: 0.813213
2017-05-17 07:34:37.292560 finished epoch 53, loss: 0.447427, val acc: 0.807864, test acc: 0.806901
2017-05-17 07:36:12.978384 finished epoch 54, loss: 0.446774, val acc: 0.812436, test acc: 0.805273
2017-05-17 07:37:49.223149 finished epoch 55, loss: 0.447634, val acc: 0.812640, test acc: 0.806189
2017-05-17 07:39:25.714549 finished epoch 56, loss: 0.445600, val acc: 0.806442, test acc: 0.802830
2017-05-17 07:41:01.843674 finished epoch 57, loss: 0.443863, val acc: 0.807661, test acc: 0.805578
2017-05-17 07:42:38.050633 finished epoch 58, loss: 0.444039, val acc: 0.807661, test acc: 0.808530
2017-05-17 07:44:13.996735 finished epoch 59, loss: 0.442490, val acc: 0.811624, test acc: 0.811075
2017-05-17 07:45:50.467470 finished epoch 60, loss: 0.442732, val acc: 0.809490, test acc: 0.807512
2017-05-17 07:47:26.810113 finished epoch 61, loss: 0.440372, val acc: 0.807458, test acc: 0.805273
2017-05-17 07:49:03.288352 finished epoch 62, loss: 0.441418, val acc: 0.812843, test acc: 0.811889
2017-05-17 07:50:39.297895 finished epoch 63, loss: 0.439990, val acc: 0.812335, test acc: 0.808937
2017-05-17 07:52:15.363720 finished epoch 64, loss: 0.439609, val acc: 0.806239, test acc: 0.804255
2017-05-17 07:53:51.649796 finished epoch 65, loss: 0.439441, val acc: 0.812436, test acc: 0.807105
2017-05-17 07:55:27.685903 finished epoch 66, loss: 0.437755, val acc: 0.810303, test acc: 0.809344
2017-05-17 07:57:04.058355 finished epoch 67, loss: 0.437535, val acc: 0.808779, test acc: 0.806189
2017-05-17 07:58:40.024771 finished epoch 68, loss: 0.437093, val acc: 0.814164, test acc: 0.809243
2017-05-17 08:00:16.382558 finished epoch 69, loss: 0.435933, val acc: 0.807255, test acc: 0.803237
2017-05-17 08:01:52.287137 finished epoch 70, loss: 0.435857, val acc: 0.808372, test acc: 0.806698
2017-05-17 08:03:28.679292 finished epoch 71, loss: 0.435004, val acc: 0.813554, test acc: 0.812500
2017-05-17 08:05:04.826927 finished epoch 72, loss: 0.435281, val acc: 0.815281, test acc: 0.808123
2017-05-17 08:06:41.300697 finished epoch 73, loss: 0.433939, val acc: 0.814875, test acc: 0.811584
2017-05-17 08:08:17.716832 finished epoch 74, loss: 0.433720, val acc: 0.810404, test acc: 0.809344
